title,address,latitude,longitude,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,6250 Glen Oaks Ln,33.924816,-84.369078,SANDY SPRINGS,GA,30328,"$545,000","4 bds , 4 ba , 3,074 sqft",BHGRE Metro Brokers,https://www.zillow.com/homedetails/6250-Glen-Oaks-Ln-Sandy-Springs-GA-30328/55018455_zpid/
House For Sale,310 Wilderlake Ct,33.960436,-84.381287,SANDY SPRINGS,GA,30328,"$1,998,000","6 bds , 9 ba , 7,563 sqft",BEACHAM AND COMPANY REALTORS,https://www.zillow.com/homedetails/310-Wilderlake-Ct-Sandy-Springs-GA-30328/35939038_zpid/
New Construction,6607 Aria Blvd,33.935393,-84.363854,Sandy Springs,GA,30328,"$930,728","3 bds , 4 ba , 4,193 sqft",,https://www.zillow.com/homedetails/6607-Aria-Blvd-Sandy-Springs-GA-30328/2092548359_zpid/
New Construction,6674 Cadence Blvd # 72,33.9314,-84.3762,Sandy Springs,GA,30328,"$359,900","1 bd , 2 ba , 1,011 sqft","Ashton Woods Realty, Llc",https://www.zillow.com/homedetails/6674-Cadence-Blvd-72-Sandy-Springs-GA-30328/2092587986_zpid/
New Construction,6426 Lucent Ln,33.935227,-84.363794,Sandy Springs,GA,30328,"$949,900","5 bds , 5 ba , 3,682 sqft",,https://www.zillow.com/homedetails/6426-Lucent-Ln-Sandy-Springs-GA-30328/2092637046_zpid/
House For Sale,480 Riverside Pkwy,33.921653,-84.402646,SANDY SPRINGS,GA,30328,"$850,000","5 bds , 4 ba , 3,464 sqft",,https://www.zillow.com/homedetails/480-Riverside-Pkwy-Sandy-Springs-GA-30328/35905703_zpid/
Condo For Sale,634 Jefferson Cir UNIT 634,33.94645,-84.362708,Sandy Springs,GA,30328,"$419,900","3 bds , 4 ba , 2,500 sqft",Berkshire Hathaway HomeServices Georgia Properties - East Cobb,https://www.zillow.com/homedetails/634-Jefferson-Cir-UNIT-634-Sandy-Springs-GA-30328/2092673541_zpid/
New Construction,6607 Aria Blvd # 124,33.9314,-84.3762,Sandy Springs,GA,30328,"$930,728","3 bds , 4 ba , 4,193 sqft","Ashton Woods Realty, Llc",https://www.zillow.com/homedetails/6607-Aria-Blvd-124-Sandy-Springs-GA-30328/2092825491_zpid/
Condo For Sale,634 Jefferson Cir,33.94645,-84.362708,SANDY SPRINGS,GA,30328,"$419,900","3 bds , 4 ba , 2,500 sqft",Berkshire Hathaway HomeServices Georgia Properties - East Cobb,https://www.zillow.com/homedetails/634-Jefferson-Cir-Sandy-Springs-GA-30328/35925975_zpid/
Townhouse For Sale,634 Jefferson Cir # 634,33.94645,-84.362708,Sandy Springs,GA,30328,"$419,900","3 bds , 4 ba , 2,500 sqft",Berkshire Hathaway HomeServices Georgia Properties,https://www.zillow.com/homedetails/634-Jefferson-Cir-634-Sandy-Springs-GA-30328/2092894184_zpid/
New Construction,2020 Wheaton Way,33.914116,-84.383711,Sandy Springs,GA,30328,"$625,000","4 bds , 4 ba , 2,675 sqft",,https://www.zillow.com/homedetails/2020-Wheaton-Way-Sandy-Springs-GA-30328/2092934306_zpid/
House For Sale,711 Heards Ferry Rd,33.920016,-84.409629,SANDY SPRINGS,GA,30328,"$2,750,000","5 bds , 6 ba , 6,129 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/711-Heards-Ferry-Rd-Sandy-Springs-GA-30328/35912593_zpid/
House For Sale,6463 Meridian Way,33.932101,-84.366697,Sandy Springs,GA,30328,"$894,788","5 bds , 5 ba , 3,682 sqft","Ashton Woods Realty, Llc",https://www.zillow.com/homedetails/6463-Meridian-Way-Sandy-Springs-GA-30328/2092997409_zpid/
New Construction,740 Abernathy Rd NE # 52DXHK,33.937569,-84.365104,Sandy Springs,GA,30328,"$559,900+","3 bds , 3.5 ba , 2,344+ sqft",,https://www.zillow.com/community/aria/2094950508_zpid/
Townhouse For Sale,6089 Boylston Dr # 6,33.920874,-84.376832,Sandy Springs,GA,30328,"$574,459","3 bds , 4 ba , -- sqft",Engel & Volkers Buckhead Atlanta,https://www.zillow.com/homedetails/6089-Boylston-Dr-6-Sandy-Springs-GA-30328/2093103359_zpid/
Townhouse For Sale,6095 Boylston Dr # 4,33.920983,-84.376858,Sandy Springs,GA,30328,"$596,559","3 bds , 4 ba , 2,435 sqft",Engel & Volkers Buckhead Atlanta,https://www.zillow.com/homedetails/6095-Boylston-Dr-4-Sandy-Springs-GA-30328/2093103608_zpid/
Condo For Sale,6980 Roswell Rd UNIT I6,33.945119,-84.372969,Atlanta,GA,30328,"$135,000","1 bd , 2 ba , 814 sqft","Hannon Properties, LLC",https://www.zillow.com/homedetails/6980-Roswell-Rd-UNIT-I6-Atlanta-GA-30328/97995546_zpid/
Townhouse For Sale,6097 Boylston Dr # 3,33.921019,-84.376867,Sandy Springs,GA,30328,"$577,430","3 bds , 4 ba , 2,435 sqft",Engel & Volkers Buckhead Atlanta,https://www.zillow.com/homedetails/6097-Boylston-Dr-3-Sandy-Springs-GA-30328/2093139904_zpid/
New Construction,740 Abernathy Rd NE # K14HC,33.937569,-84.365104,Sandy Springs,GA,30328,"$834,900+","4 bds , 3.5 ba , 3,432+ sqft",,https://www.zillow.com/community/aria/2094950503_zpid/
Lot/Land For Sale,3030 River North Pkwy,33.948905,-84.397831,SANDY SPRINGS,GA,30328,"$315,000",0.67 ac lot,Berkshire Hathaway HomeServices Georgia Properties - Midtown Office,https://www.zillow.com/homedetails/3030-River-North-Pkwy-Sandy-Springs-GA-30328/65442037_zpid/
House For Sale,355 Black Water Cv,33.936954,-84.398267,ATLANTA,GA,30328,"$644,900","5 bds , 4 ba , 4,150 sqft",SELLECT REALTY LLC,https://www.zillow.com/homedetails/355-Black-Water-Cv-Atlanta-GA-30328/35904995_zpid/
House For Sale,6155 River Chase Cir,33.921992,-84.431732,SANDY SPRINGS,GA,30328,"$899,000","5 bds , 7 ba , 5,133 sqft",Ansley Atlanta Real Estate,https://www.zillow.com/homedetails/6155-River-Chase-Cir-Sandy-Springs-GA-30328/35919373_zpid/
House For Sale,5960 River Chase Cir,33.918338,-84.424703,ATLANTA,GA,30328,"$1,595,000","5 bds , 8 ba , 6,684 sqft",Dorsey Alston Realtors,https://www.zillow.com/homedetails/5960-River-Chase-Cir-Atlanta-GA-30328/35913075_zpid/
