title,address,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
Townhouse For Sale,5284 Kershaw Ct SE # 1,Atlanta,GA,30339,265000,3,3,"2,332",GEORGIA REALTY BROKERS INTERNATIONAL CORPORATION,https://www.zillow.com/homedetails/5284-Kershaw-Ct-SE-1-Atlanta-GA-30339/69328255_zpid/
Condo For Sale,4854 Payson Ter SE,Atlanta,GA,30339,310000,4,4,"2,232",,https://www.zillow.com/homedetails/4854-Payson-Ter-SE-Atlanta-GA-30339/2090541879_zpid/
House For Sale,4668 Woodland Brook Dr SE,Atlanta,GA,30339,650000,3,3,"3,163",,https://www.zillow.com/homedetails/4668-Woodland-Brook-Dr-SE-Atlanta-GA-30339/14316725_zpid/
Condo For Sale,3300 Windy Ridge Pkwy SE UNIT 913,Atlanta,GA,30339,335000,2,3,"1,380",,https://www.zillow.com/homedetails/3300-Windy-Ridge-Pkwy-SE-UNIT-913-Atlanta-GA-30339/87685219_zpid/
Condo For Sale,3521 Broughton Sq,Atlanta,GA,30339,575000,3,4,"3,002",,https://www.zillow.com/homedetails/3521-Broughton-Sq-Atlanta-GA-30339/2090604026_zpid/
House For Sale,5573 Martina Way,Atlanta,GA,30338,579000,4,4,"2,985",,https://www.zillow.com/homedetails/5573-Martina-Way-Atlanta-GA-30338/14587017_zpid/
House For Sale,5297 Lake View Clb,Atlanta,GA,30338,750000,5,5,"5,313",,https://www.zillow.com/homedetails/5297-Lake-View-Clb-Atlanta-GA-30338/14585914_zpid/
New Construction,1821-1951 Old Spring House Ln # VF71E,Dunwoody,GA,30338,471900,4,4,"2,533",,https://www.zillow.com/community/dunwoody-towneship/2097623377_zpid/
House For Sale,4955 Conover Dr,Atlanta,GA,30338,522500,5,3,"4,252",Coldwell Banker Residential Brokerage - Perimeter,https://www.zillow.com/homedetails/4955-Conover-Dr-Atlanta-GA-30338/14583078_zpid/
House For Sale,4368 Huntington Cir,Atlanta,GA,30338,409900,4,3,"3,200",Atlanta Communities,https://www.zillow.com/homedetails/4368-Huntington-Cir-Atlanta-GA-30338/14579446_zpid/
Condo For Sale,604 Dunbar Dr,Atlanta,GA,30338,175000,2,2,"1,314",Coldwell Banker Residential Brokerage - Buckhead West Paces Ferry,https://www.zillow.com/homedetails/604-Dunbar-Dr-Atlanta-GA-30338/14579891_zpid/
New Construction,1821-1951 Old Spring House Ln # 99ECG2,Dunwoody,GA,30338,470900,4,4,"2,533",,https://www.zillow.com/community/dunwoody-towneship/2097623378_zpid/
Condo For Sale,2300 Peachford Rd APT 3303,Atlanta,GA,30338,187900,1,1,950,,https://www.zillow.com/homedetails/2300-Peachford-Rd-APT-3303-Atlanta-GA-30338/2090400586_zpid/
House For Sale,4930 Village Creek Dr,Atlanta,GA,30338,460000,4,3,"2,556",,https://www.zillow.com/homedetails/4930-Village-Creek-Dr-Atlanta-GA-30338/14582843_zpid/
Condo For Sale,1850 Cotillion Dr UNIT 3306,Dunwoody,GA,30338,165000,1,1,800,,https://www.zillow.com/homedetails/1850-Cotillion-Dr-UNIT-3306-Dunwoody-GA-30338/70840127_zpid/
House For Sale,5073 Sirron Ct,Atlanta,GA,30338,600000,5,4,"3,234",,https://www.zillow.com/homedetails/5073-Sirron-Ct-Atlanta-GA-30338/14583010_zpid/
New Construction,1821-1951 Old Spring House Ln # U7F09X,Dunwoody,GA,30338,458900,4,4,"2,363",,https://www.zillow.com/community/dunwoody-towneship/2097623376_zpid/
House For Sale,5222 Davantry Dr,Atlanta,GA,30338,329900,4,2,"2,158",PalmerHouse Properties,https://www.zillow.com/homedetails/5222-Davantry-Dr-Atlanta-GA-30338/14584870_zpid/
Townhouse For Sale,5381 Trentham Dr,Atlanta,GA,30338,100000,3,3,"3,075",,https://www.zillow.com/homedetails/5381-Trentham-Dr-Atlanta-GA-30338/14585479_zpid/
Condo For Sale,4333 Dunwoody Park APT 3206,Dunwoody,GA,30338,175000,2,1,960,Berkshire Hathaway HomeServices Georgia Properties - Suwanee-Duluth Office,https://www.zillow.com/homedetails/4333-Dunwoody-Park-APT-3206-Dunwoody-GA-30338/2090434597_zpid/
House For Sale,1840 Vermack Ct,Atlanta,GA,30338,1575000,6,8,"7,322",Atlanta Communities,https://www.zillow.com/homedetails/1840-Vermack-Ct-Atlanta-GA-30338/59937701_zpid/
For Sale by Owner,1168 Holly Ave,Atlanta,GA,30338,589000,4,4,"3,031",,https://www.zillow.com/homedetails/1168-Holly-Ave-Atlanta-GA-30338/123557548_zpid/
For Sale by Owner,1029 Oakpointe Pl,Atlanta,GA,30338,629000,3,3,"2,921",,https://www.zillow.com/homedetails/1029-Oakpointe-Pl-Atlanta-GA-30338/14586841_zpid/
New Construction,4330 Georgetown Sq # 13,Dunwoody,GA,30338,531913,3,4,"2,816",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/4330-Georgetown-Sq-13-Dunwoody-GA-30338/2090472021_zpid/
Townhouse For Sale,4330 Georgetown Sq # 18,Dunwoody,GA,30338,498500,3,4,"2,471",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/4330-Georgetown-Sq-18-Dunwoody-GA-30338/2090487418_zpid/
House For Sale,1942 Stonehouse Ct,Dunwoody,GA,30338,509000,4,3,"2,318",,https://www.zillow.com/homedetails/1942-Stonehouse-Ct-Dunwoody-GA-30338/14585208_zpid/
Townhouse For Sale,4330 Georgetown Sq # 16,Dunwoody,GA,30338,482900,3,4,"2,471",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/4330-Georgetown-Sq-16-Dunwoody-GA-30338/2090494724_zpid/
House For Sale,2109 Bogans Lake Path,Atlanta,GA,30338,649900,5,5,"4,003","Quicksilver Realty, Inc.",https://www.zillow.com/homedetails/2109-Bogans-Lake-Path-Atlanta-GA-30338/14584810_zpid/
Townhouse For Sale,4330 Georgetown Sq # 17,Dunwoody,GA,30338,485600,3,4,"2,471",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/4330-Georgetown-Sq-17-Dunwoody-GA-30338/2090494723_zpid/
For Sale by Owner,259 Whitaker Cir NW,Atlanta,GA,30314,50000,2,1,851,,https://www.zillow.com/homedetails/259-Whitaker-Cir-NW-Atlanta-GA-30314/35846225_zpid/
House For Sale,1448 Rome Dr NW,Atlanta,GA,30314,219800,3,3,"1,400",Atlanta Communities,https://www.zillow.com/homedetails/1448-Rome-Dr-NW-Atlanta-GA-30314/69344286_zpid/
For Sale by Owner,280 Spellman St NW,Atlanta,GA,30314,50000,3,1,960,,https://www.zillow.com/homedetails/280-Spellman-St-NW-Atlanta-GA-30314/35855445_zpid/
Foreclosure,2211 Pansy St NW,Atlanta,GA,30314,25000,3,1,--,PalmerHouse Properties & Assoc,https://www.zillow.com/homedetails/2211-Pansy-St-NW-Atlanta-GA-30314/35857377_zpid/
House For Sale,186 Racine St SW,Atlanta,GA,30314,309500,3,2,"1,200",,https://www.zillow.com/homedetails/186-Racine-St-SW-Atlanta-GA-30314/35846582_zpid/
House For Sale,1941 Detroit Ave NW,Atlanta,GA,30314,197000,3,1,"1,032",,https://www.zillow.com/homedetails/1941-Detroit-Ave-NW-Atlanta-GA-30314/35855958_zpid/
House For Sale,301 Wadley St NW,Atlanta,GA,30314,112500,3,1,884,,https://www.zillow.com/homedetails/301-Wadley-St-NW-Atlanta-GA-30314/35857420_zpid/
House For Sale,1570 Spring Ln NW,Atlanta,GA,30314,390000,5,2,"1,440",RE/MAX Center,https://www.zillow.com/homedetails/1570-Spring-Ln-NW-Atlanta-GA-30314/35846011_zpid/
House For Sale,151 Dahlia Ave NW,Atlanta,GA,30314,62000,2,1,858,,https://www.zillow.com/homedetails/151-Dahlia-Ave-NW-Atlanta-GA-30314/35857188_zpid/
House For Sale,225 Joe Louis Dr NW,Atlanta,GA,30314,58000,3,2,784,,https://www.zillow.com/homedetails/225-Joe-Louis-Dr-NW-Atlanta-GA-30314/35857455_zpid/
House For Sale,151 Wellington St SW,Atlanta,GA,30314,199790,4,3,"1,673",PalmerHouse Properties,https://www.zillow.com/homedetails/151-Wellington-St-SW-Atlanta-GA-30314/35846516_zpid/
House For Sale,223 Wellington St SW,Atlanta,GA,30314,99995,3,1,"1,102",Engel & Volkers Buckhead Atlanta,https://www.zillow.com/homedetails/223-Wellington-St-SW-Atlanta-GA-30314/35846593_zpid/
For Sale by Owner,1001 Ashby Ter NW,Atlanta,GA,30314,39500,3,1,"1,064",,https://www.zillow.com/homedetails/1001-Ashby-Ter-NW-Atlanta-GA-30314/35834071_zpid/
House For Sale,240 W Lake Dr NW,Atlanta,GA,30314,199800,3,2,"1,657",Atlanta Communities,https://www.zillow.com/homedetails/240-W-Lake-Dr-NW-Atlanta-GA-30314/35846355_zpid/
Apartment For Sale,2054 Joseph E Boone Blvd NW,Atlanta,GA,30314,270000,1,1,4200,,https://www.zillow.com/homedetails/2054-Joseph-E-Boone-Blvd-NW-Atlanta-GA-30314/108599905_zpid/
House For Sale,2145 Lafite Sq SE,Smyrna,GA,30080,560000,5,4,"3,465",Floyd Realty Advisors,https://www.zillow.com/homedetails/2145-Lafite-Sq-SE-Smyrna-GA-30080/80426836_zpid/
New Construction,3421 Bryerstone Cir SE # 38N527,Smyrna,GA,30080,619900,4,4,"3,650",,https://www.zillow.com/community/highpointe-at-vinings/2094344523_zpid/
Condo For Sale,1905 Countryside Pl SE # 1905,Smyrna,GA,30080,140000,2,1,"1,097",,https://www.zillow.com/homedetails/1905-Countryside-Pl-SE-1905-Smyrna-GA-30080/2090372611_zpid/
New Construction,3776 Huger Pl SE # O1VSYS,Smyrna,GA,30080,446900,3,4,"2,233",,https://www.zillow.com/community/park-at-paces-ferry/2092164100_zpid/
Condo For Sale,1502 Country Park Dr SE,Smyrna,GA,30080,160000,2,1,"1,089",,https://www.zillow.com/homedetails/1502-Country-Park-Dr-SE-Smyrna-GA-30080/14311431_zpid/
House For Sale,3890 Glenhurst Dr SE,Smyrna,GA,30080,535000,5,4,"5,478",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/3890-Glenhurst-Dr-SE-Smyrna-GA-30080/14306445_zpid/
