No,price
768,299000
769,200000
770,230000
771,220000
772,231900
773,235000
774,238000
775,220000
776,235000
777,200000
778,223676
779,146000
780,150000
781,145000
782,137500
783,146000
784,154000
785,122000
786,135000
787,145000
788,168000
789,135000
790,147500
791,137000
792,130000
793,143000
794,149350
795,105000
796,129850
797,147500
798,110000
799,117500
800,95000
801,351000
802,315500
803,280000
804,295000
805,272000
806,297500
807,298000
808,275000
809,258000
810,275000
811,301000
812,215000
813,400
814,317500
815,2590000
816,325000
817,317500
818,345000
819,334000
820,155000
821,134000
822,1500
823,269850
824,285000
825,289000
826,188500
827,80000
828,196000
829,99900
830,105000
831,145000
832,140000
833,119900
834,117000
835,135040
836,135000
837,110000
838,108150
839,108150
840,24500
841,130000
842,130000
843,190400
844,152500
845,130750
846,233000
847,195000
848,120000
849,155000
850,200000
851,137500
852,168000
853,190000
854,225000
855,197500
856,190000
857,382112
858,357900
859,252000
860,118000
861,198000
862,268000
863,268000
864,760000
865,159900
866,149000
867,149000
868,155000
869,195000
870,336500
871,320000
872,364000
873,105000
874,135000
875,115000
876,120000
877,117000
878,110000
879,137000
880,219000
881,162000
882,150000
883,133000
884,159000
885,241689
886,215000
887,240000
888,193500
889,202730
890,194500
891,190000
892,241689
893,185000
894,204675
895,203700
896,189000
897,194500
898,173500
899,222000
900,222000
901,311600
902,267500
903,260000
904,262000
905,232500
906,247500
907,267000
908,394000
909,270000
910,148000
911,146000
912,205000
913,105000
914,135000
915,150000
916,168000
917,266300
918,350000
919,250000
920,205000
921,130000
922,195000
923,179000
924,201000
925,180000
926,181000
927,210000
928,200000
929,204000
930,204000
931,185000
932,185000
933,205000
934,155000
935,170000
936,165000
937,150000
938,258000
939,240000
940,230000
941,265000
942,263000
943,349900
944,330000
945,14500
946,300000
947,310000
948,318000
949,305000
950,318000
951,240000
952,239000
953,235000
954,300000
955,278550
956,308000
957,329000
958,195000
959,185000
960,174000
961,185000
962,37000
963,209900
964,174000
965,243500
966,248000
967,270000
968,225000
969,270000
970,285000
971,226500
972,269400
973,264000
974,237000
975,278000
976,269200
977,225470
978,267500
979,295000
980,257500
981,232600
982,260000
983,274900
984,274900
985,299000
986,222000
987,259000
988,169000
989,182000
990,172000
991,185000
992,189000
993,260000
994,268500
995,274900
996,285000
997,278000
998,278000
999,275000
1000,268000
1001,297200
1002,75000
1003,75000
1004,87000
1005,74900
1006,90000
1007,74000
1008,210000
1009,223000
1010,220000
1011,235000
1012,245900
1013,232000
1014,300000
1015,213900
1016,289900
1017,207900
1018,150000
1019,189000
1020,193030
1021,181500
1022,172000
1023,172000
1024,239300
1025,153000
1026,150000
1027,170000
1028,729000
1029,145000
1030,151000
1031,79900
1032,71524
1033,76500
1034,76500
1035,110000
1036,95000
1037,75000
1038,76500
1039,88000
1040,252500
1041,220000
1042,215000
1043,267000
1044,235000
1045,320000
1046,266500
1047,260000
1048,144000
1049,344000
1050,215000
1051,262500
1052,226000
1053,325000
1054,281000
1055,290000
1056,232000
1057,330000
1058,320000
1059,236000
1060,265000
1061,235000
1062,298000
1063,275000
1064,281000
1065,209900
1066,210000
1067,206500
1068,210000
1069,194000
1070,225200
1071,209000
1072,191000
1073,225000
1074,225000
1075,120000
1076,120000
1077,135000
1078,131000
1079,131000
1080,198000
